title,description,article_text,publication_datetime,header_photo_url,keywords,authors,source_url
Смоленская область наращивает объем доходов регионального бюджета,На заседании Правительства области. было рассмотрено исполнение областного бюджета за 2024 год,"В прошлом году объем доходов областного бюджета составил рекордные 98 миллиардов рублей Расходы бюджета также исполнены в рекордной сумме почти 90 миллиардов рублей . Больше половины доходной части бюджета направили на здравоохранение, образование и социальную сферу. Остальные средства пошли на развитие инфраструктуры, помощь муниципалитетам, поддержку проектов в промышленности, АПК и других отраслей, написал в своем Телеграм- канале Губернатор Смоленской области  Ключевыми принципами распределения бюджета являются социальная ориентированность бюджета и поддержка развития инфраструктуры . Они были реализованы на 100% , подчеркнул глава региона.",25 февраля 2025 21:35,https://s12.stc.yc.kpcdn.net/share/i/12/14347244/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249814-ttps-54-14-32173D-990-l-85-m-1.t-10-6249814-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T21-35-29.jpg,"бюджет,рубль,миллиард,поддержка,анохин,апк,инфраструктура,развитие,телеграм,объём",,https://www.kp.ru/online/news/6249814/
США хотят обсудить с РФ замороженные активы и затронутые компании Америки,"Марко Рубио заявил, что обсуждение замороженных активов и затронутых американских компаний могут стать частью обширного диалога между Россией и США","В случае урегулирования вооруженного конфликта на Украине, Соединенные Штаты хотели бы обсудить с Россией вопросы по замороженным активам РФ и затронутым американским компаниям. Об этом заявил государственный секретарь США   в интервью для издания Breitbart. «Есть возможности для совместной работы, и <...> это повлечет за собой обсуждение не только российских активов, которые были заморожены европейцами или США <...>, но и американских компаний, которые пострадали‎», - сообщил он. Рубио подчеркнул, что данные темы могут стать частью обширного разговора между США и Россией о перезагрузке двусторонних отношений стран, но лишь после завершения боевых действий на Украине.  о заявлении пресс-секретаря президента РФ  , что Россия и США пока не обсуждают возможность заключения соглашений по вопросам, которые представляют взаимный интерес для обоих государств. При этом в Кремле отметили, что шаги, необходимые для улучшения отношений между Москвой и Вашингтоном, уже определены.",25 февраля 2025 21:49,https://s13.stc.yc.kpcdn.net/share/i/12/14347250/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249819-ttps-54-14-32173D-990-l-85-m-1.t-10-6249819-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T21-49-54.jpg,"сша,россия,украина,рф,вопрос,компания,актив,секретарь,рубио,возможность",Мария МАМАЕВА,https://www.kp.ru/online/news/6249819/
Кандидат в президенты Польши Ментцен призвал отменить культ Бандеры на Украине,"Славомир Ментцен заявил, что Украина должна как можно скорее прекратить культ националиста Степана Бандеры в стране","Кандидат на пост президента Польши от ультраправого объединения «Конфедерация»   потребовал от властей Украины ликвидировать культ лидера националистов Степана Бандеры. Об этом сообщает интернет-портал DoRzeczy.pl. «Украина должна как можно быстрее прекратить культ Степана Бандеры‎», - приводит источник слова польского политика. Заявление было сделано во Львове, когда кандидат на пост президента республики стоял у памятника Бандере. Как напомнил Ментцен, еще до начала Второй мировой войны суд в Польше приговорил Бандеру к смертной казни за убийства поляков. Политик подчеркнул, что сам лидер националистического движения является террористом, а люди, действующие под его покровительством, убили около 100 тысяч жителей республики. Ментцен также подчеркнул, что организация Бандеры ответственна за Волынскую резню.  о заявлении бывшего премьер-министра Польши  , что Украина должна отказаться от культа националиста Степана Бандеры, если хочет вступить в Евросоюз.",25 февраля 2025 22:26,https://s11.stc.yc.kpcdn.net/share/i/12/14347284/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249845-ttps-54-14-32173D-990-l-85-m-1.t-10-6249845-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T22-26-26.jpg,"польша,украина,бандёр,степан,культ,пост,лидер,президент,кандидат,националист",Мария МАМАЕВА,https://www.kp.ru/online/news/6249845/
"Россиянам рассказали, сколько блинов можно давать ребёнку на Масленицу",Диетолог Тарасова посоветовала не давать детям более двух блинов за раз,"Блины сложно назвать полезной едой. Но Масленица — праздник, который нравится всем. В эти дни отказаться от блинов почти невозможно, особенно детям. Сколько блинов можно давать ребенку в день, рассказал  . Врач   пояснила, что блины — не диетическая еда. Всё зависит от того, как их готовят. Она отметила, что блины не заменят полноценный обед и не подходят для перекуса или завтрака. По её словам, давать блины детям можно с 1,5–2 лет. Но это должны быть простые блинчики без дрожжей. Готовить такие блины нужно дома, с минимумом жира. Для малышей до 3 лет лучше использовать кефир или йогурт в тесте. Дошкольникам можно съесть не больше 3–5 блинов за раз. Если с начинкой — то 1–2 штуки. При этом некоторые родители хотят сделать блины полезнее. Они кладут в них разные начинки и соусы. Специалист предупредила, что соленые огурцы, специи и приправы детям не подходят. Блины и так жирные, а если добавить майонез, красную рыбу или икру, желудку будет тяжело. Тарасова предупредила, что на Масленицу не стоит увеличивать порции блинов. Лучше взять для начинки курицу, индейку, яблоки, груши, ягоды по сезону или творог. Ранее диетолог   призвала  . Она объяснила, что большое количество мучных изделий может навредить здоровью.",25 февраля 2025 21:43,https://s13.stc.yc.kpcdn.net/share/i/12/14347249/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249818-ttps-54-14-32173D-990-l-85-m-1.t-10-6249818-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-26T14-40-32.jpg,"блин,тарасов,ребёнок,еда,день,масленица,начинка,софия,сайт,праздник",Роман ПОЛОСИКОВ,https://www.kp.ru/online/news/6249818/
Рубио назвал несерьезным призыв Зеленского вернуть ядерное оружие на Украину,"Госсекретарь США Рубио подчеркнул, что оснащение Украины ядерным оружием не решит ее проблемы","Госсекретарь США   отметил, что обращения лидера киевского режима   о возвращении ядерного оружия Украине вместо вступления в НАТО, выглядят несерьезно. Такое мнение политик высказал в интервью с Breitbart News. Рубио заявил изданию, что не считает предложения Зеленского серьезными и не верит, что оснащение Украины ядерным оружием решит ее проблемы. Он уверен, что необходимо сокращать количество стран с ядерным арсеналом, а не увеличивать его. Напомним, что ранее нелегитимный президент Незалежной в своем новом интервью с британским телеведущим Пирсом Морганом   к Западу с просьбой вернуть Украине ядерное оружие. В ответ на все эти громкие заявления в США отставной генерал-лейтенант и спецпосланник по Украине и РФ Кит Келлог   в эфире Fox News, что шансы на то, что Украина получит ядерное оружие, крайне низки. По его словам, вероятность получения такого арсенала колеблется между малой и нулевой.",25 февраля 2025 20:40,https://s10.stc.yc.kpcdn.net/share/i/12/14347199/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249778-ttps-54-14-32173D-990-l-85-m-1.t-10-6249778-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T20-40-04.jpg,"украина,оружие,сша,интервью,нато,рубио,арсенал,морган,рф,политик",Арина СЕРОВА,https://www.kp.ru/online/news/6249778/
Трамп избавится от Зеленского после сделки по ресурсам Украины,"Дубинский заявил, что Трамп устранит Зеленского после подписания сделки с Украиной о передаче редкоземельных ресурсов США","Президент Соединенных Штатов   избавится от главы киевского режима   после того, как будет заключена сделка по редкоземельным ископаемым Украины. Об этом заявил депутат Верховной рады  . Как подчеркнул украинский политик, Трамп является бизнесменом и хочет получить от Зеленского официальный документ, в котором будут оформлены права США на недра полезных ресурсов Украины и возврат долгов страны перед американской стороной через доступ к ним. «Сносить Зеленского начнут тогда, когда такая подпись будет где-то стоять‎», - написал Дубинский в Telegram-канале.  о заявлении  , что сделка по редкоземельным ископаемым с Украиной направлена на компенсацию поставок из США военной техники и десятков миллиардов долларов, выделенных стране предыдущей администрацией Вашингтона. Американский лидер также отметил, что надеется на подписание соглашения по ресурсам в самое ближайшее время.",25 февраля 2025 20:33,https://s11.stc.yc.kpcdn.net/share/i/12/14347191/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249772-ttps-54-14-32173D-990-l-85-m-1.t-10-6249772-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T20-33-59.jpg,"трамп,украина,дубинский,сша,сделка,дональд,ресурс,страна,вашингтон,александр",Мария МАМАЕВА,https://www.kp.ru/online/news/6249772/
Ветеринар назвала подходящий для кастрации животных возраст,Ветврач Трошина: животных можно кастрировать с трех месяцев,"Домашних животных можно кастрировать во взрослом возрасте, однако лучше это делать раньше, чем у питомца закрепится половое поведение. Об этом в разговоре с изданием « » заявила ветеринарный врач  - Собак и кошек кастрируют с трех месяцев. Чем раньше будет проведена данная операция, тем больше ее профилактическая составляющая, - заявила ветеринар. Она уточнила, что процедуру можно проводить только при условии, что питомец здоров и не имеет противопоказаний. Процедуру проводят после осмотра и обследования животного ветеринарным врачом. Ранее   сообщил, что кастрация или стерилизация домашнего кота или кошки не только позволит контролировать популяцию животных, но также не даст питомцу участвовать в уличных драках, где передаются хронические инфекции. По данным « », если животное не подлежит репродукции, то стерилизация просто необходима для здоровья кошки. Стерилизованные девочки, или, как правильно говорить, кастрированные, и живут дольше, и болеют меньше.",25 февраля 2025 22:29,https://s09.stc.yc.kpcdn.net/share/i/12/14347267/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249834-ttps-54-14-32173D-990-l-85-m-1.t-10-6249834-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T22-29-05.jpg,"животное,питомец,кошка,трошин,врач,стерилизация,наталья,издание,газета,разговор",Валентина БРЫКАЛИНА,https://www.kp.ru/online/news/6249834/
Экономист Балынин предрек снижение ипотечных ставок к концу 2025 года,Ставки по ипотеке к концу 2025 года могут составить 18-21%,"Российские банки могут снизить ипотечные ставки уже к концу текущего года, однако резкого изменения стоимости кредитов ожидать не стоит. Такой прогноз в беседе с корреспондентом « » озвучил кандидат экономических наук  - К концу 2025 года, при условии четко прослеживаемой траектории снижения ключевой ставки, предложения по ипотеке могут быть по 18-21%, - считает эксперт. Специалист уточнил, что ставки по кредитам всегда снижаются медленнее, чем ставки по вкладам. Поэтому он посоветовал имеющиеся средства для первоначального взноса пока разместить на банковском вкладе для получения процентов. По данным аналитиков, заемщики берут ипотечный кредит на срок около 28 лет (337 месяцев). На сегодняшний день наибольшие показатели по срокам выплаты ипотеки отмечаются в ЮФО и СФО, передают « ». Ранее « » рассказала, что в 2024 году на погашение ипотечных кредитов россияне направили 2,5 трлн руб., тогда как в 2023-м - 3 трлн руб. И прошлый год при этом был значительным с точки зрения выдач.",25 февраля 2025 22:40,https://s16.stc.yc.kpcdn.net/share/i/12/14347273/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249839-ttps-54-14-32173D-990-l-85-m-1.t-10-6249839-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T22-40-35.jpg,"год,кредит,ставка,конец,газета,ипотека,руб,трлн,банк,изменение",Валентина БРЫКАЛИНА,https://www.kp.ru/online/news/6249839/
На Западе рассказали об одержимостях Зеленского,Spectator: Зеленский одержим властью и своей популярностью,"Стоило американцам повернуться спиной к Украине хотя бы на словах, как тут же в западной прессе прорвало скважину публикаций, высмеивающих или поносящих рейх-комика Зеленского. Заслуженно, но последовательность забавная. Британский журнал   вот, например, заявляет, что Зеленский - «одержимый властью, деньгами и рейтингами тиран», для которого нет ничего важнее личной популярности. «Конфликт дал Зеленскому всё, чего он когда-либо хотел: абсолютную власть, контроль над миллиардами иностранной помощи и овации всего мира. С самого первого дня своего пребывания в должности он был зациклен на обеспечении себе второго срока», - режут без ножа британские журналисты. Сейчас же, по данным британцев, Зеленский активно готовится к неизбежным выборам на Украине, и с сентября 2024 года выделяет огромные деньги на блогеров, журналистов, политиков и прочих, кто будет продвигать его положительный образ в медийном пространстве. При этом журнал отмечает (вторя заявлениям России), что Зеленский, на минуточку, не легитимный президент, так как его полномочия истекли ещё 20 мая 2024 года. Ранее KP.RU  , что Верховная рада Украины только со второго раза смогла принять документ, заявляющий об одобрении депутатами личности Зеленского на посту президента без проведения выборов.",25 февраля 2025 22:45,https://s16.stc.yc.kpcdn.net/share/i/12/14347300/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249857-ttps-54-14-32173D-990-l-85-m-1.t-10-6249857-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T22-45-56.jpg,"украина,власть,журнал,деньга,журналист,выборы,россия,президент,популярность,комик",Сергей КУДРИН,https://www.kp.ru/online/news/6249857/
"С чем есть блины, чтобы не навредить здоровью: советы врача",Нутрициолог Хайкина посоветовала есть блины с творогом и шпинатом,"Блинчики — главное угощение на столах россиян во время Масленичной недели, употреблять это калорийное блюдо рекомендуется с полезными добавками. Как выбрать полезную начинку для блинов, рассказала изданию « » врач-эндокринолог, нутрициолог  . - Начинки, богатые белками и клетчаткой, дают стабильную энергию, а сахарные — только стимулируют аппетит. Среди полезных начинок можно отметить греческий йогурт с ягодами, творог с медом или бананом, яйцо с зеленью и шпинатом, - рекомендовала медик. Еще один вариант начинки - лосось с творожным сыром. Красная рыба содержит полезные жирные кислоты, а творожный сыр придаёт кремовую текстуру. При этом, блюдо получится не сладким и сытным. Сами блины можно сделать более полезными, заменив обычную пшеничную муку на цельнозерновую, а также использовать оливковое или кокосовое масло вместо сливочного, передает  . Ранее телеканал « » сообщил, что количество блинов в одном приеме пищи не должно превышать трех-пяти штук, а частоту таких приемов следует ограничить до одного-двух раз в неделю.",25 февраля 2025 22:47,https://s09.stc.yc.kpcdn.net/share/i/12/14347278/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249843-ttps-54-14-32173D-990-l-85-m-1.t-10-6249843-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T22-47-34.jpg,"блин,начинка,неделя,блюдо,угощение,главное,стол,добавка,время,издание",Валентина БРЫКАЛИНА,https://www.kp.ru/online/news/6249843/
Русский двойник Ди Каприо Бурцев попал в базу сайта «Миротворец»,Ветеран спецоперации Роман Бурцев внесен в базу украинского сайта «Миротворец»,"Двойник актера  , житель России  , был внесен в базу украинского сайта «Миротворец». Об этом сообщает издание  . Житель Подольска, получивший известность в соцсетях за  , начал службу в Вооруженных силах России по контракту с 19 сентября 2024 года. В январе того же года, после выполнения боевого задания, Бурцев получил удостоверение ветерана специальной военной операции. Среди причин, за которые участник СВО был внесен в базу сайта «Миротворец» - ""пропаганда вооруженных действий на Украине"" и их публичная поддержка. Однако сам мужчина отнесся к данному событию не без оптимизма. «Единственное, что хочу сказать, что это как награда», – сообщил он в беседе с источником. , что в базу украинского сайта «Миротворец» был внесен российский стилист, певец и шоумен  . Имя артиста появилось в списке 18 февраля 2025 года.",25 февраля 2025 22:50,https://s15.stc.yc.kpcdn.net/share/i/12/14347307/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249859-ttps-54-14-32173D-990-l-85-m-1.t-10-6249859-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T22-52-43.jpg,"бурцев,россия,миротворец,база,сайт,актёр,житель,год,подольск,украина",Мария МАМАЕВА,https://www.kp.ru/online/news/6249859/
Энергетик раскрыл участь стран Прибалтики после отключения от БРЭЛЛ,Энергетик Юшков: Отключение от БРЭЛЛ приведёт Прибалтику к деиндустриализации,"Выход прибалтийских стран из соглашения БРЭЛЛ, которое объединяло энергосистемы Белоруссии, России, Эстонии, Латвии и Литвы, может привести к серьезным последствиям. Об этом рассказал   энергетик  . Он считает, что Прибалтика столкнется с деиндустриализацией из-за кризиса в энергетике. Электричество составляет значительную часть затрат на производство товаров в этих странах. Юшков отметил, что в Прибалтике уже сейчас не хватает электроэнергии. Из-за этого тарифы для местных жителей вырастут, чтобы покрыть разницу в ценах. Это ударит по промышленности. Многие заводы уже сокращают производство или вовсе останавливаются, так как затраты слишком высоки. Эксперт подчеркнул, что электроэнергия в Прибалтике стоит дороже, чем в соседних странах. При этом он считает, что со временем цены начнут выравниваться с Финляндией и югом Швеции. Раньше прибалтийские государства могли покупать электричество у России и Белоруссии во время пиковых нагрузок или аварий. Теперь такой возможности нет. Ранее власти Эстонии призвали своих граждан   на фоне выхода страны из энергосистемы БРЭЛЛ.",25 февраля 2025 22:31,https://s09.stc.yc.kpcdn.net/share/i/12/14347292/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249850-ttps-54-14-32173D-990-l-85-m-1.t-10-6249850-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T22-31-10.jpg,"прибалтика,россия,белоруссия,эстония,страна,электричество,юшковы,производство,затрата,брэлла",Роман ПОЛОСИКОВ,https://www.kp.ru/online/news/6249850/
Урсула фон дер Ляйен попробует убедить Индию отвернуться от России,Bloomberg: ЕС попытается убедить Индию присоединиться к санкциям против России,"«Коллективный Запад» разваливается на глазах, и глава Еврокомиссии   судорожно трясущимися руками пытается уцепиться за любую возможность продолжать двигаться в выбранном русофобском направлении. На этот раз она решила попытать удачу в Индии, и намерена убедить премьер-министра   отвернуться от России. «Председатель Европейской комиссии Урсула фон дер Ляйен обратится к премьер-министру Индии Нарендре Моди с просьбой оказать содействие в обеспечении соблюдения санкций в отношении России, когда лидеры двух стран встретятся на этой неделе в Нью-Дели», - сообщает агентство  . К сожалению, пока это только очередные инсайды от западной прессы, и никаких официальных заявлений на этот счёт сделано не было. Однако, если верить агентству, то фон дер Ляйен собирается донести до Моди, что якобы «конфликт на Украине опасен для Индии так же, как для Европы». Жаль, мы не увидим лицо индийского премьера, если ему и правда придётся это выслушивать. Ранее KP.RU  , что пока суматошные европолитики бегают по миру в поисках новых союзников взамен США, взрослые дяди из России и Индии работают над наращиванием товарооборота между двумя странами до колоссальных 100 млрд долларов ежегодно к 2030 году.",25 февраля 2025 22:35,https://s14.stc.yc.kpcdn.net/share/i/12/14347295/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249852-ttps-47-12-32173D-990-l-85-m-1.t-10-6249852-ttps-47-12-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T22-35-06.jpg,"индия,россия,ляйена,еврокомиссия,министр,нарендра,премьер,урсула,агентство,страна",Сергей КУДРИН,https://www.kp.ru/online/news/6249852/
Омега-3 может помочь в профилактике Альцгеймера,Омега-3 также замедляют процессы старения,"Наш организм может усваивать Омега-3 жирные кислоты из продуктов питания или пищевых добавок. О неожиданной пользе жирных кислот сообщила в разговоре с « » гастроэнтеролог, терапевт  Омега-3 – целый комплекс полиненасыщенных жирных кислот. Омега-3 оказывает благоприятное воздействие на умственную деятельность, концентрацию внимания и память, может замедлить прогрессирование болезни Альцгеймера — цитирует издание доктора. Медик добавила, что Омега-3 также замедляют процессы старения, снижают аппетит и даже снижают эмоциональное напряжение. Полиненасыщенными жирными кислотами Омега-3 богата скумбрия, лосось, форель и другая рыба красных пород, сообщает  . Если вы не любите морепродукты, Омега-3 можно получить из льняного масла, грецких орехов и семян чиа. Диетолог отметила, что суточная норма Омега-3 варьируется от 800 до 1 600 миллиграммов, однако превышать 3 000 миллиграммов не рекомендуется, передает  .",25 февраля 2025 22:36,https://s15.stc.yc.kpcdn.net/share/i/12/14347269/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249836-ttps-54-14-32173D-990-l-85-m-1.t-10-6249836-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T22-36-50.jpg,"омега,кислота,ермаков,организм,газета,гастроэнтеролог,польза,терапевт,добавка,питание",Валентина БРЫКАЛИНА,https://www.kp.ru/online/news/6249836/
"Назван уровень пассивного дохода, к которому стремятся россияне",«Газета.ru»: размер пассивного дохода россиян составляет около 10 тысяч рублей,"Все больше россиян хотели бы иметь постоянный пассивный доход, при этом, лишь каждый четвертый его получает. К такому выводу пришли аналитики в ходе опроса, результаты исследования опубликовала « ». В наличии пассивного дохода признались 26% опрошенных. В среднем размер пассивного дохода составляет порядка 10-15 тыс. рублей в месяц. Этот показатель в 10 раз ниже желаемого размера пассивного дохода, - говорится в опубликованном сообщении. Уточняется, что большинство респондентов мечтают получать пассивный доход в размере 100 тыс. рублей, при этом в настоящий момент чаще всего средства поступают за счет банковских вкладов и аренды недвижимости. Ранее « » рассказали, что инвесторы все чаще приобретают жилье на юге страны, чтобы получать пассивный доход. Треть спроса на элитную недвижимость в Сочи обеспечивают покупатели с Урала, Дальнего Востока и из Сибири, за последние несколько лет их доля в объеме спроса выросла на 11 процентных пунктов. Тем, кто хочет заняться инвестициями в ценные бумаги, стоит изучить финансовые сайты и ознакомиться с прогнозами по дивидендам у компаний, передает  .",25 февраля 2025 22:52,https://s12.stc.yc.kpcdn.net/share/i/12/14347283/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249846-ttps-54-14-32173D-990-l-85-m-1.t-10-6249846-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T22-52-41.jpg,"доход,тыс,рубль,размер,недвижимость,урал,сибирь,сочи,россиянин,ход",Валентина БРЫКАЛИНА,https://www.kp.ru/online/news/6249846/
"Стало известно, кому надо обязательно проверить зрение после 40 лет",Офтальмолог Садулаева: при болезнях сердца следует регулярно проверять зрение,"Проверять глаза нужно регулярно людям старше 40 лет, особенно внимательно к своему зрению людям, имеющим заболевания сердца и сосудов. Об этом сообщила в беседе с изданием « » врач-офтальмолог  - После 40 лет есть риск развития возрастной дегенерации макулярной зоны сетчатки. Людям старше 40 лет необходимо регулярно проходить обследования. Особенно это важно для пациентов из группы риска: тех, кто имеет артериальную гипертензию сердечно-сосудистые заболевания, а также болезнь Альцгеймера, - отметила медик. Врач добавила, что также к факторам риска относятся курение и злоупотребление алкогольными напитками. По ее словам, возрастная макулярная дистрофия – одна из главных причин слепоты или снижения зрения у взрослого населения. Ранее « » рассказала, что для лечения пациентов с дегенерацией сетчатки необходимо принимать витамины группы С и Е, а также принимать цинк и другие антиоксидантные препараты. Однако важно, чтобы их назначил врач. Если у человека начались проблемы со зрением, то, чтобы они не усугубились, очень важно правильно подобрать очки. Нельзя самостоятельно выбирать очки в магазине оптики, поскольку, скорее всего, выбор будет неверным, а глаза получат дополнительную нагрузку. То же самое касается и контактных линз, передает  .",25 февраля 2025 22:51,https://s16.stc.yc.kpcdn.net/share/i/12/14347289/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249847-ttps-54-14-32173D-990-l-85-m-1.t-10-6249847-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T22-51-43.jpg,"человек,врач,зрение,глаз,садулаев,год,заболевание,сетчатка,риск,дегенерация",Валентина БРЫКАЛИНА,https://www.kp.ru/online/news/6249847/
Украина и США могут подписать сделку по полезным ископаемым 28 февраля,Соглашение по передаче Украиной редкоземельных ресурсов США может быть подписано в Вашингтоне 28 февраля,"Украина и Соединенные Штаты могут подписать соглашение о передаче полезных ископаемых уже в эту пятницу, 28 февраля. Об этом сообщает Agence France-Presse (AFP) со ссылкой на высокопоставленного украинского чиновника. «На данном этапе мы рассматриваем визит в Вашингтон в пятницу, чтобы подписать сделку‎», - говорится в сообщении источника. Ранее издание Financial Times сообщало, что Украина и США все же   в рамках договора по украинским редкоземельным металлам. При этом, согласно заявлению источника, глава киевского режима   и президент США   сошлись на том, что Украина передаст американской стороне права на добычу и разработку ресурсов в обмен на освобождение от выплат по расходам Соединенных Штатов, потраченных на спонсирование ВСУ - порядка 400-500 млрд долларов. В свою очередь депутат Верховной рады Украины   выразил мнение, что Трамп   от Зеленского сразу после того, как сделка между Киевом и Вашингтоном по передаче ресурсов будет официально заключена.",25 февраля 2025 23:04,https://s16.stc.yc.kpcdn.net/share/i/12/14347317/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249871-ttps-54-14-32173D-990-l-85-m-1.t-10-6249871-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T23-04-46.jpg,"украина,вашингтон,трамп,передача,штат,соглашение,пятница,источник,сделка,млрд",Мария МАМАЕВА,https://www.kp.ru/online/news/6249871/
Мэр украинского Красноармейска обратился к Зеленскому по-русски: вот что он сказал,Мэр Красноармейска Требушкин призвал Зеленского к миру на русском языке,"Интересное с украинских полей. Мэр Красноармейска (укронацистские власти называют его Покровском)   написал пост в социальных сетях на русском языке, что в нынешних реалиях Украины карается чуть ли не принудительной мобилизацией. В своём посте Требушкин, при этом, обратился напрямую к рейх-комику Зеленскому, призвав его остановиться и заключить мир с Россией. «Общаясь с жителями я от всех слышу: мира, мира, мира. <…> Люди не хотят воевать, они устали. Те же военные, которые находятся на передовой, которых давно не меняли, люди хотят домой, они хотят, чтобы вы подарили мир. Владимир Александрович, мы в вас верим. Заключайте мир и дайте людям пожить», - пишет Требушкин. Ещё раз акцентируем внимание на том, что русский язык в официальных обращениях на Украине строго запрещён, и таким образом Требушкин нарушает людоедское, но всё же законодательство. Как быстро мэр Красноармейска исчезнет из медийного пространства - понаблюдаем, однако это в очередной раз красноречиво говорит об отношении украинцев к нынешней ситуации. Ранее KP.RU  , что рейтинг поддержки политики Зеленского на Украине, даже по официальным данным, катастрофически обрушился, и люди хотят заключения мирного соглашения.",25 февраля 2025 23:04,https://s14.stc.yc.kpcdn.net/share/i/12/14347318/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6249872-ttps-54-14-32173D-990-l-85-m-1.t-10-6249872-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-25T23-04-09.jpg,"требушкин,украина,красноармейск,россия,мир,язык,мэр,человек,комик,пост",Сергей КУДРИН,https://www.kp.ru/online/news/6249872/
